

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
436.826  000.049  000.049: sourcing /Users/jesushula/.vim/bundle/neocomplete/plugin/neocomplete/tag.vim
436.963  000.112  000.112: sourcing /Users/jesushula/.vim/bundle/neocomplete/plugin/neocomplete.vim
437.285  000.210  000.210: sourcing /Users/jesushula/.vim/bundle/change-inside-surroundings.vim/plugin/change-inside-surroundings.vim
437.660  000.270  000.270: sourcing /Users/jesushula/.vim/bundle/tabular/plugin/Tabular.vim
442.581  004.816  004.816: sourcing /Users/jesushula/.vim/bundle/tcomment_vim/plugin/tcomment.vim
444.087  001.360  001.360: sourcing /Users/jesushula/.vim/bundle/camelcasemotion/plugin/camelcasemotion.vim
445.086  000.873  000.873: sourcing /Users/jesushula/.vim/bundle/matchit.zip/plugin/matchit.vim
445.550  000.307  000.307: sourcing /Users/jesushula/.vim/bundle/vim-multiple-cursors/plugin/multiple_cursors.vim
446.311  000.642  000.642: sourcing /Users/jesushula/.vim/bundle/NrrwRgn/plugin/NrrwRgn.vim
446.770  000.339  000.339: sourcing /Users/jesushula/.vim/bundle/vim-tmux-navigator/plugin/tmux_navigator.vim
446.998  000.102  000.102: sourcing /Users/jesushula/.vim/bundle/file-line/plugin/file_line.vim
447.175  000.063  000.063: sourcing /Users/jesushula/.vim/bundle/gundo.vim/plugin/gundo.vim
452.366  005.088  005.088: sourcing /Users/jesushula/.vim/bundle/YankRing.vim/plugin/yankring.vim
452.985  000.302  000.302: sourcing /Users/jesushula/.vim/bundle/tlib_vim/plugin/02tlib.vim
454.856  001.666  001.666: sourcing /Users/jesushula/.vim/bundle/vim-abolish/plugin/abolish.vim
456.307  001.234  001.234: sourcing /Users/jesushula/.vim/bundle/vim-endwise/plugin/endwise.vim
457.682  001.111  001.111: sourcing /Users/jesushula/.vim/bundle/vim-ragtag/plugin/ragtag.vim
458.890  001.047  001.047: sourcing /Users/jesushula/.vim/bundle/vim-surround/plugin/surround.vim
464.210  005.195  005.195: sourcing /Users/jesushula/.vim/bundle/vim-unimpaired/plugin/unimpaired.vim
464.459  000.102  000.102: sourcing /Users/jesushula/.vim/bundle/AnsiEsc.vim/plugin/AnsiEscPlugin.vim
465.168  000.678  000.678: sourcing /Users/jesushula/.vim/bundle/AnsiEsc.vim/plugin/cecutil.vim
514.495  049.212  049.212: sourcing /Users/jesushula/.vim/bundle/AutoTag/plugin/autotag.vim
514.865  000.192  000.192: sourcing /Users/jesushula/.vim/bundle/lastpos.vim/plugin/lastpos.vim
515.127  000.157  000.157: sourcing /Users/jesushula/.vim/bundle/sudo.vim/plugin/sudo.vim
515.423  000.194  000.194: sourcing /Users/jesushula/.vim/bundle/ctrlr.vim/plugin/ctrlr.vim
526.138  010.122  010.122: sourcing /Users/jesushula/.vim/bundle/editorconfig-vim/plugin/editorconfig.vim
526.362  000.063  000.063: sourcing /Users/jesushula/.vim/bundle/vim-togglecursor/plugin/togglecursor.vim
526.593  000.129  000.129: sourcing /Users/jesushula/.vim/bundle/vim-dispatch/plugin/dispatch.vim
527.209  000.508  000.508: sourcing /Users/jesushula/.vim/bundle/Auto-Pairs/plugin/auto-pairs.vim
527.715  000.074  000.074: sourcing /usr/local/Cellar/macvim/8.0-110/MacVim.app/Contents/Resources/vim/runtime/plugin/getscriptPlugin.vim
528.096  000.353  000.353: sourcing /usr/local/Cellar/macvim/8.0-110/MacVim.app/Contents/Resources/vim/runtime/plugin/gzip.vim
528.388  000.264  000.264: sourcing /usr/local/Cellar/macvim/8.0-110/MacVim.app/Contents/Resources/vim/runtime/plugin/logiPat.vim
528.441  000.025  000.025: sourcing /usr/local/Cellar/macvim/8.0-110/MacVim.app/Contents/Resources/vim/runtime/plugin/manpager.vim
528.750  000.282  000.282: sourcing /usr/local/Cellar/macvim/8.0-110/MacVim.app/Contents/Resources/vim/runtime/plugin/matchparen.vim
529.740  000.954  000.954: sourcing /usr/local/Cellar/macvim/8.0-110/MacVim.app/Contents/Resources/vim/runtime/plugin/netrwPlugin.vim
529.869  000.070  000.070: sourcing /usr/local/Cellar/macvim/8.0-110/MacVim.app/Contents/Resources/vim/runtime/plugin/rrhelper.vim
529.960  000.043  000.043: sourcing /usr/local/Cellar/macvim/8.0-110/MacVim.app/Contents/Resources/vim/runtime/plugin/spellfile.vim
530.202  000.206  000.206: sourcing /usr/local/Cellar/macvim/8.0-110/MacVim.app/Contents/Resources/vim/runtime/plugin/tarPlugin.vim
530.355  000.111  000.111: sourcing /usr/local/Cellar/macvim/8.0-110/MacVim.app/Contents/Resources/vim/runtime/plugin/tohtml.vim
530.601  000.210  000.210: sourcing /usr/local/Cellar/macvim/8.0-110/MacVim.app/Contents/Resources/vim/runtime/plugin/vimballPlugin.vim
530.875  000.228  000.228: sourcing /usr/local/Cellar/macvim/8.0-110/MacVim.app/Contents/Resources/vim/runtime/plugin/zipPlugin.vim
530.956  013.208: loading plugins
531.117  000.161: loading packages
531.411  000.129  000.129: sourcing /Users/jesushula/.vim/after/plugin/vimrc_after.vim
532.228  000.574  000.574: sourcing /Users/jesushula/.vim/bundle/vim-snipmate/after/plugin/snipMate.vim
532.796  000.046  000.046: sourcing /Users/jesushula/.vim/bundle/csapprox/after/plugin/CSApprox.vim
534.240  000.305  000.305: sourcing /Users/jesushula/.vim/bundle/tabular/autoload/tabular.vim
536.149  002.821  002.516: sourcing /Users/jesushula/.vim/bundle/tabular/after/plugin/TabularMaps.vim
536.520  001.833: loading after plugins
536.529  000.009: inits 3
537.752  001.156  001.156: sourcing $VIMRUNTIME/menu.vim
538.348  000.551  000.551: sourcing $VIM/gvimrc
722.868  184.632: starting GUI
727.065  004.197: reading viminfo
770.986  043.921: GUI delay
770.997  000.011: setting raw mode
771.002  000.005: start termcap
771.035  000.033: clearing screen
771.682  000.647: opening buffers
773.066  000.613  000.613: sourcing /Users/jesushula/.vim/bundle/vim-gitgutter/autoload/gitgutter.vim
781.596  000.651  000.651: sourcing /Users/jesushula/.vim/bundle/vim-gitgutter/autoload/gitgutter/utility.vim
782.786  000.352  000.352: sourcing /Users/jesushula/.vim/bundle/vim-gitgutter/autoload/gitgutter/hunk.vim
940.641  000.506  000.506: sourcing /Users/jesushula/.vim/bundle/nerdtree/syntax/nerdtree.vim
959.438  000.720  000.720: sourcing /Users/jesushula/.vim/bundle/lightline.vim/autoload/lightline.vim
960.679  000.130  000.130: sourcing /Users/jesushula/.vim/bundle/lightline.vim/autoload/lightline/tab.vim
962.314  000.371  000.371: sourcing /Users/jesushula/.vim/bundle/lightline.vim/autoload/lightline/colorscheme.vim
965.699  004.227  003.856: sourcing /Users/jesushula/.vim/bundle/lightline.vim/autoload/lightline/colorscheme/powerline.vim
965.749  004.639  000.412: sourcing /Users/jesushula/.vim/bundle/lightline.vim/autoload/lightline/colorscheme/default.vim
1000.452  222.159: BufEnter autocommands
1000.459  000.007: editing files in windows
1002.415  000.970  000.970: sourcing /Users/jesushula/.vim/bundle/vim-session/autoload/xolox/session.vim
1012.223  010.794: VimEnter autocommands
1012.227  000.004: before starting main loop
1017.557  005.330: first screen update
1017.563  000.006: --- VIM STARTED ---
